year,quarter,ticker,acid_test,ar_turnover,asset_,asset_turnover,cash_ratio,cur_ratio,curasset_turnover,debt/asset,debt/equity,debt_ratio,equity_,gross_margin,lib/equity,lt_debt/asset,lt_debt/equity,net_margin,np_ar,revenue_,roa,roca,roe,rotc,st_debt/asset,st_debt/equity,wc_turnover
2018,1,AGR,151.7284887461237,1.3666673156276818,1781342590784.0,0.02491929569564902,17.957904061642136,151.72848883790786,0.02685244651634857,1.1227486561805974e-09,1.1296579191433917e-09,0.006116243550997602,1770447465651.0,0.5644049025916876,0.0061538821932758244,5.613743280902987e-10,5.648289595716958e-10,0.2718278297517522,88.04583410181023,44389802755.0,0.006773758067890452,0.00729924226006403,0.006815442977046002,0.006846554475904646,5.613743280902987e-10,5.648289595716958e-10,0.027030597619191677
2018,1,APG,57.407726470889784,0.01696456557223464,147200013409.0,0.012717258488276364,0.24317887072071742,57.40772686944591,0.012996322524020758,1.3586955284052423e-08,1.382256395834025e-08,0.017045222217667223,144690956470.0,0.7109741691663454,0.017340800007222455,6.793477642026211e-09,6.911281979170125e-09,0.00586175779960799,1.3979678694242228,1871980620.0,7.454548913328489e-05,7.618129492139967e-05,7.583816755178576e-05,7.583125522162422e-05,6.793477642026211e-09,6.911281979170125e-09,0.013226722209406067
2018,1,APS,35.99945293116847,0.7678635210558225,391433908456.0,0.05479227577038298,1.5653230127181097,35.99945302598691,0.056490404653663104,5.109419385481813e-09,5.272478547445283e-09,0.03092647234050436,379328238513.0,0.29908287608010997,0.03191344253846033,2.5547096927409066e-09,2.6362392737226414e-09,0.1667084438769029,2.9488990064944245,21447554658.0,0.009134335030154678,0.009417427453788728,0.009425843106266565,0.00942584042032975,2.5547096927409066e-09,2.6362392737226414e-09,0.05810444143908713
2018,1,BMS,4.5696821073918885,0.27164933451633344,931004165065.0,0.14514398868512648,0.026153917390406265,4.569682112334042,0.1461439803677878,0.13612484858341303,0.21920585453845673,0.3790090649265403,578145147021.0,0.2529566228532895,0.6103294646027412,1.074109050769051e-09,1.7296694526498844e-09,0.17025527770520962,1.0198286414772209e-06,135129658000.0,0.024711530100828015,0.024881783962462413,0.039793705036780896,0.037462979924594374,0.13612484750930398,0.21920585280878727,0.18708431504432046
2018,1,BVS,1.327439196181995,0.9184523020905898,5670640335310.0,0.02220828000390461,0.9316631992834264,1.3274391964369063,0.024183646635020997,3.5269385496843805e-10,1.152058044593026e-09,0.6938575650560819,1736023639943.0,0.4248527750378209,2.26645340814379,1.7634692748421903e-10,5.76029022296513e-10,0.2291899923352473,0.31880169863731644,125935168368.0,0.005089915523873924,0.005542649786918792,0.01662597191012196,0.0179103655513586,1.7634692748421903e-10,5.76029022296513e-10,0.09804055472110255
2018,1,BSI,2.582546379674447,10.359554753168679,2249596991752.0,0.0813576658943971,0.1948542788177292,2.58254638087689,0.0852156863523302,0.06623408617023349,0.10508078416612796,0.36968412735176776,1417956690963.0,0.5848527037719767,0.5865061366748758,4.445240652732176e-10,7.052401574556228e-10,0.3143149904521273,0.00030082245140988567,183021960452.0,0.025571933978804785,0.026784567642204143,0.04057003018401857,0.03383384534041216,0.06623408572570942,0.1050807834608878,0.13906288311196777
2018,1,ART,9.764210448400492,1.1341491177715022,445932838129.0,0.07470837434798336,1.8846392992338843,9.76421047166322,0.07937106990287139,4.484980313159709e-09,4.998862259761993e-09,0.10279978120996514,400091039935.0,0.12326361896919132,0.11457841745580605,2.2424901565798543e-09,2.4994311298809966e-09,0.07521126390737932,1.719417647027636,33314917405.0,0.005618911259177465,0.005969598485075913,0.0062627172190786295,0.006262714688341052,2.2424901565798543e-09,2.4994311298809966e-09,0.08842734144718185
2018,1,DSC,17.68926025376027,1.5565643208308686,76798316433.0,0.2193647556414526,12.061282342258808,17.689260500064833,0.23457478689700523,0.00029949875294553387,0.0003162157937321233,0.0528659261110498,72738302311.0,0.9200840374284281,0.05581672919228988,1.3021118775076469e-08,1.3747915035525554e-08,0.7070981069203255,0.12394027472528772,16846843918.0,0.15511240343911095,0.16586738774611118,0.16377027045623702,0.2046480752736719,0.0002994857318267588,0.0003162020458170877,0.2486302201437985
2018,1,EVS,26.193073234640433,86.53385980316118,738074299802.0,0.07811218209530696,5.258791064685043,26.193073270915573,0.07984385621759196,2.7097542896921506e-09,2.8333851466149664e-09,0.04363362216058662,705869444678.0,0.8137569647732028,0.04562437907861425,1.3548771448460753e-09,1.4166925733074832e-09,0.6001887691537348,1.3239418951881542e-07,57652594106.0,0.04688205442769467,0.04792138578772429,0.04902101905088804,0.06127627222223568,1.3548771448460753e-09,1.4166925733074832e-09,0.08301313435047337
2018,1,FTS,3.1418905662429926,9.496509068224487,2276937855773.0,0.05048475865274561,0.07352745502850681,3.141890567755309,0.055330321507876236,0.05599625860527269,0.07891312837321333,0.29040630171898824,1615700753834.0,0.685730523930148,0.40925716000930745,4.3918633855754e-10,6.18926492190485e-10,0.5472445686350019,0.0033551028878466838,114950658116.0,0.027627509971563952,0.0302792179260137,0.03893426624065504,0.045033731425544045,0.05599625816608635,0.07891312775428684,0.08116279042147818
2018,1,IVS,58.55591679209391,0.2848083916135833,347405750711.0,0.013240103592373719,8.855689668005574,58.555916987830436,0.015375507866585052,5.75695709097159e-09,5.84288183161531e-09,0.014705883692322641,342296842147.0,0.3939976360501631,0.014925374513989731,2.878478545485795e-09,2.921440915807655e-09,0.00952889691220387,1.4203684688505205,4599688128.0,0.00012616358223862932,0.0001465116294334686,0.0001280466209535674,0.00033930930707068256,2.878478545485795e-09,2.921440915807655e-09,0.01564264821759077
